# file...... results_d2a3fd4f.csv
# date...... Thu Nov  6 17:25:28 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 4
# trigger... (none)
# interval.. 60
# limit..... 10080
# timestamp,house:total_load,house:hvac_load,house:air_temperature,house:outdoor_temperature,meter1:measured_real_energy,meter1:measured_real_power,inverter1:P_Out,house_solar:P_Out,main_wh:power.real,main_wh:tank_setpoint,main_wh:water_demand,washing_machine:base_power,dishwasher:base_power,oven:base_power,refrigerator:base_power,indoor_lights:power.real,exterior_lights:power.real
2024-07-01 00:00:00 PST,+4.06198,+0.0529616,+70.6944,+52.702,+0,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:01:00 PST,+4.06198,+0.0529616,+70.566,+52.702,+64.9828,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:02:00 PST,+4.06198,+0.0529616,+70.4664,+52.702,+129.966,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:03:00 PST,+4.06198,+0.0529616,+70.3883,+52.702,+194.948,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:04:00 PST,+4.06198,+0.0529616,+70.3262,+52.702,+259.931,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:05:00 PST,+4.06198,+0.0529616,+70.2761,+52.702,+324.914,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:06:00 PST,+4.06198,+0.0529616,+70.2349,+52.702,+389.897,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:07:00 PST,+4.06198,+0.0529616,+70.2005,+52.702,+454.879,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:08:00 PST,+4.06198,+0.0529616,+70.171,+52.702,+519.862,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:09:00 PST,+4.06198,+0.0529616,+70.1452,+52.702,+584.845,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:10:00 PST,+4.06198,+0.0529616,+70.1223,+52.702,+649.828,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:11:00 PST,+4.06198,+0.0529616,+70.1014,+52.702,+714.811,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:12:00 PST,+4.06198,+0.0529616,+70.0822,+52.702,+779.793,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:13:00 PST,+4.06198,+0.0529616,+70.0641,+52.702,+844.776,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:14:00 PST,+4.06198,+0.0529616,+70.0469,+52.702,+909.759,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:15:00 PST,+4.06198,+0.0529616,+70.0304,+52.702,+974.742,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:16:00 PST,+4.06198,+0.0529616,+70.0143,+52.702,+1039.72,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:17:00 PST,+4.06198,+0.0529616,+69.9987,+52.702,+1104.71,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:18:00 PST,+4.06198,+0.0529616,+69.9834,+52.702,+1169.69,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:19:00 PST,+4.06198,+0.0529616,+69.9684,+52.702,+1234.67,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:20:00 PST,+4.06198,+0.0529616,+69.9535,+52.702,+1299.66,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:21:00 PST,+4.06198,+0.0529616,+69.9387,+52.702,+1364.64,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:22:00 PST,+4.06198,+0.0529616,+69.9241,+52.702,+1429.62,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:23:00 PST,+4.06198,+0.0529616,+69.9096,+52.702,+1494.6,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:24:00 PST,+4.06198,+0.0529616,+69.8952,+52.702,+1559.59,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:25:00 PST,+4.06198,+0.0529616,+69.8808,+52.702,+1624.57,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:26:00 PST,+4.06198,+0.0529616,+69.8665,+52.702,+1689.55,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:27:00 PST,+4.06198,+0.0529616,+69.8522,+52.702,+1754.54,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:28:00 PST,+4.06198,+0.0529616,+69.838,+52.702,+1819.52,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:29:00 PST,+4.06198,+0.0529616,+69.8239,+52.702,+1884.5,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:30:00 PST,+4.06198,+0.0529616,+69.8098,+52.702,+1949.48,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:31:00 PST,+4.06198,+0.0529616,+69.7957,+52.702,+2014.47,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:32:00 PST,+4.06198,+0.0529616,+69.7817,+52.702,+2079.45,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:33:00 PST,+4.06198,+0.0529616,+69.7677,+52.702,+2144.43,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:34:00 PST,+4.06198,+0.0529616,+69.7537,+52.702,+2209.41,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:35:00 PST,+4.06198,+0.0529616,+69.7398,+52.702,+2274.4,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:36:00 PST,+4.06198,+0.0529616,+69.7259,+52.702,+2339.38,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:37:00 PST,+4.06198,+0.0529616,+69.7121,+52.702,+2404.36,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:38:00 PST,+4.06198,+0.0529616,+69.6983,+52.702,+2469.35,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:39:00 PST,+4.06198,+0.0529616,+69.6845,+52.702,+2534.33,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:40:00 PST,+4.06198,+0.0529616,+69.6708,+52.702,+2599.31,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:41:00 PST,+4.06198,+0.0529616,+69.6571,+52.702,+2664.29,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:42:00 PST,+4.06198,+0.0529616,+69.6434,+52.702,+2729.28,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:43:00 PST,+4.06198,+0.0529616,+69.6298,+52.702,+2794.26,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:44:00 PST,+4.06198,+0.0529616,+69.6162,+52.702,+2859.24,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:45:00 PST,+4.06198,+0.0529616,+69.6027,+52.702,+2924.23,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:46:00 PST,+4.06198,+0.0529616,+69.5892,+52.702,+2989.21,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:47:00 PST,+4.06198,+0.0529616,+69.5757,+52.702,+3054.19,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:48:00 PST,+4.06198,+0.0529616,+69.5622,+52.702,+3119.17,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:49:00 PST,+4.06198,+0.0529616,+69.5488,+52.702,+3184.16,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:50:00 PST,+4.06198,+0.0529616,+69.5354,+52.702,+3249.14,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:51:00 PST,+4.06198,+0.0529616,+69.5221,+52.702,+3314.12,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:52:00 PST,+4.06198,+0.0529616,+69.5088,+52.702,+3379.1,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:53:00 PST,+4.06198,+0.0529616,+69.4955,+52.702,+3444.09,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:54:00 PST,+4.06198,+0.0529616,+69.4822,+52.702,+3509.07,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:55:00 PST,+4.06198,+0.0529616,+69.469,+52.702,+3574.05,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:56:00 PST,+4.06198,+0.0529616,+69.4559,+52.702,+3639.04,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:57:00 PST,+4.06198,+0.0529616,+69.4427,+52.702,+3704.02,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:58:00 PST,+4.06198,+0.0529616,+69.4296,+52.702,+3769,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 00:59:00 PST,+4.06198,+0.0529616,+69.4165,+52.702,+3833.98,+3898.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.168,+0.028
2024-07-01 01:00:00 PST,+4.03989,+0.0529616,+69.4035,+52.342,+3898.97,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:01:00 PST,+4.03989,+0.0529616,+69.3857,+52.342,+3963.6,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:02:00 PST,+4.03989,+0.0529616,+69.3688,+52.342,+4028.23,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:03:00 PST,+4.03989,+0.0529616,+69.3526,+52.342,+4092.87,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:04:00 PST,+4.03989,+0.0529616,+69.3369,+52.342,+4157.5,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:05:00 PST,+4.03989,+0.0529616,+69.3216,+52.342,+4222.13,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:06:00 PST,+4.03989,+0.0529616,+69.3067,+52.342,+4286.76,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:07:00 PST,+4.03989,+0.0529616,+69.292,+52.342,+4351.4,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:08:00 PST,+4.03989,+0.0529616,+69.2775,+52.342,+4416.03,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:09:00 PST,+4.03989,+0.0529616,+69.2631,+52.342,+4480.66,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:10:00 PST,+4.03989,+0.0529616,+69.2489,+52.342,+4545.29,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:11:00 PST,+4.03989,+0.0529616,+69.2348,+52.342,+4609.93,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:12:00 PST,+4.03989,+0.0529616,+69.2207,+52.342,+4674.56,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:13:00 PST,+4.03989,+0.0529616,+69.2067,+52.342,+4739.19,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:14:00 PST,+4.03989,+0.0529616,+69.1928,+52.342,+4803.83,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:15:00 PST,+4.03989,+0.0529616,+69.179,+52.342,+4868.46,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:16:00 PST,+4.03989,+0.0529616,+69.1652,+52.342,+4933.09,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:17:00 PST,+4.03989,+0.0529616,+69.1514,+52.342,+4997.72,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:18:00 PST,+4.03989,+0.0529616,+69.1377,+52.342,+5062.36,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:19:00 PST,+4.03989,+0.0529616,+69.124,+52.342,+5126.99,+3877.97,+0,+0+0i,+0,+131,+0,+0,+0,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:20:00 PST,+4.14418,+0.0529616,+69.1104,+52.342,+5191.62,+3977.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:21:00 PST,+4.14418,+0.0529616,+69.0972,+52.342,+5257.92,+3977.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:22:00 PST,+4.14418,+0.0529616,+69.084,+52.342,+5324.22,+3977.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:23:00 PST,+4.14418,+0.0529616,+69.0708,+52.342,+5390.52,+3977.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:24:00 PST,+4.14418,+0.0529616,+69.0576,+52.342,+5456.82,+3977.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:25:00 PST,+4.24846,+0.0529616,+69.0444,+52.342,+5523.12,+4077.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:26:00 PST,+4.24846,+0.0529616,+69.0317,+52.342,+5591.09,+4077.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:27:00 PST,+4.24846,+0.0529616,+69.0189,+52.342,+5659.05,+4077.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:28:00 PST,+4.24846,+0.0529616,+69.0061,+52.342,+5727.02,+4077.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:29:00 PST,+4.24846,+0.0529616,+68.9933,+52.342,+5794.98,+4077.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:30:00 PST,+4.24846,+0.0529616,+68.9805,+52.342,+5862.95,+4077.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:31:00 PST,+4.24846,+0.0529616,+68.9677,+52.342,+5930.92,+4077.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:32:00 PST,+4.14418,+0.0529616,+68.9549,+52.342,+5998.88,+3977.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:33:00 PST,+4.45702,+0.0529616,+68.9417,+52.342,+6065.18,+4277.97,+0,+0+0i,+0,+131,+0,+0,+0.4,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:34:00 PST,+4.97844,+0.0529616,+68.9299,+52.342,+6136.48,+4777.97,+0,+0+0i,+0,+131,+0,+0,+0.9,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:35:00 PST,+5.60414,+0.0529616,+68.9201,+52.342,+6216.11,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:36:00 PST,+5.60414,+0.0529616,+68.9126,+52.342,+6305.75,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:37:00 PST,+5.70842,+0.0529616,+68.9044,+52.342,+6395.38,+5477.97,+0,+0+0i,+0,+131,+0,+0,+1.6,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:38:00 PST,+5.70842,+0.0529616,+68.8961,+52.342,+6486.68,+5477.97,+0,+0+0i,+0,+131,+0,+0,+1.6,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:39:00 PST,+5.70842,+0.0529616,+68.8875,+52.342,+6577.98,+5477.97,+0,+0+0i,+0,+131,+0,+0,+1.6,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:40:00 PST,+5.70842,+0.0529616,+68.8786,+52.342,+6669.28,+5477.97,+0,+0+0i,+0,+131,+0,+0,+1.6,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:41:00 PST,+5.60414,+0.0529616,+68.8694,+52.342,+6760.58,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:42:00 PST,+5.60414,+0.0529616,+68.8597,+52.342,+6850.21,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:43:00 PST,+5.60414,+0.0529616,+68.8499,+52.342,+6939.84,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:44:00 PST,+5.60414,+0.0529616,+68.8401,+52.342,+7029.48,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:45:00 PST,+5.60414,+0.0529616,+68.8303,+52.342,+7119.11,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:46:00 PST,+5.49986,+0.0529616,+68.8205,+52.342,+7208.74,+5277.97,+0,+0+0i,+0,+131,+0,+0,+1.4,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:47:00 PST,+5.49986,+0.0529616,+68.8102,+52.342,+7296.71,+5277.97,+0,+0+0i,+0,+131,+0,+0,+1.4,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:48:00 PST,+5.49986,+0.0529616,+68.8,+52.342,+7384.67,+5277.97,+0,+0+0i,+0,+131,+0,+0,+1.4,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:49:00 PST,+5.60414,+0.0529616,+68.7899,+52.342,+7472.64,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:50:00 PST,+5.60414,+0.0529616,+68.7802,+52.342,+7562.27,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:51:00 PST,+5.70842,+0.0529616,+68.7706,+52.342,+7651.91,+5477.97,+0,+0+0i,+0,+131,+0,+0,+1.6,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:52:00 PST,+5.60414,+0.0529616,+68.7613,+52.342,+7743.2,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:53:00 PST,+5.70842,+0.0529616,+68.7516,+52.342,+7832.84,+5477.97,+0,+0+0i,+0,+131,+0,+0,+1.6,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:54:00 PST,+5.60414,+0.0529616,+68.7423,+52.342,+7924.14,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:55:00 PST,+5.70842,+0.0529616,+68.7326,+52.342,+8013.77,+5477.97,+0,+0+0i,+0,+131,+0,+0,+1.6,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:56:00 PST,+5.60414,+0.0529616,+68.7233,+52.342,+8105.07,+5377.97,+0,+0+0i,+0,+131,+0,+0,+1.5,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:57:00 PST,+5.49986,+0.0529616,+68.7136,+52.342,+8194.7,+5277.97,+0,+0+0i,+0,+131,+0,+0,+1.4,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:58:00 PST,+5.39557,+0.0529616,+68.7035,+52.342,+8282.67,+5177.97,+0,+0+0i,+0,+131,+0,+0,+1.3,+3.5,+0.15,+0.15,+0.025
2024-07-01 01:59:00 PST,+5.39557,+0.0529616,+68.693,+52.342,+8368.97,+5177.97,+0,+0+0i,+0,+131,+0,+0,+1.3,+3.5,+0.15,+0.15,+0.025
2024-07-01 02:00:00 PST,+4.96371,+0.0529616,+68.6827,+51.622,+8455.27,+4763.97,+0,+0+0i,+0,+131,+0,+0,+0.9,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:01:00 PST,+4.75514,+0.0529616,+68.6624,+51.622,+8534.67,+4563.97,+0,+0+0i,+0,+131,+0,+0,+0.7,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:02:00 PST,+4.54658,+0.0529616,+68.6431,+51.622,+8610.73,+4363.97,+0,+0+0i,+0,+131,+0,+0,+0.5,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:03:00 PST,+4.33801,+0.0529616,+68.6246,+51.622,+8683.47,+4163.97,+0,+0+0i,+0,+131,+0,+0,+0.3,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:04:00 PST,+4.33801,+0.0529616,+68.6065,+51.622,+8752.87,+4163.97,+0,+0+0i,+0,+131,+0,+0,+0.3,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:05:00 PST,+4.23373,+0.0529616,+68.5895,+51.622,+8822.26,+4063.97,+0,+0+0i,+0,+131,+0,+0,+0.2,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:06:00 PST,+4.12945,+0.0529616,+68.573,+51.622,+8890,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:07:00 PST,+4.12945,+0.0529616,+68.5567,+51.622,+8956.06,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:08:00 PST,+4.12945,+0.0529616,+68.541,+51.622,+9022.13,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:09:00 PST,+4.12945,+0.0529616,+68.5257,+51.622,+9088.2,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:10:00 PST,+4.12945,+0.0529616,+68.5108,+51.622,+9154.26,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:11:00 PST,+4.12945,+0.0529616,+68.4962,+51.622,+9220.33,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:12:00 PST,+4.12945,+0.0529616,+68.4817,+51.622,+9286.39,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:13:00 PST,+4.12945,+0.0529616,+68.4674,+51.622,+9352.46,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:14:00 PST,+4.12945,+0.0529616,+68.4533,+51.622,+9418.53,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:15:00 PST,+4.12945,+0.0529616,+68.4393,+51.622,+9484.59,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:16:00 PST,+4.12945,+0.0529616,+68.4253,+51.622,+9550.66,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:17:00 PST,+4.12945,+0.0529616,+68.4115,+51.622,+9616.72,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:18:00 PST,+4.12945,+0.0529616,+68.3976,+51.622,+9682.79,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:19:00 PST,+4.12945,+0.0529616,+68.3839,+51.622,+9748.86,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:20:00 PST,+4.12945,+0.0529616,+68.3702,+51.622,+9814.92,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
2024-07-01 02:21:00 PST,+4.12945,+0.0529616,+68.3565,+51.622,+9880.99,+3963.97,+0,+0+0i,+0,+131,+0,+0,+0.1,+3.5,+0.15,+0.138,+0.023
