# file...... results_be84c1a6.csv
# date...... Wed Nov  5 17:08:16 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 900
# limit..... 10000
# timestamp,house:total_load,washing_machine:base_power,dishwasher:base_power, indoor_lights:base_power, house:heating_setpoint, house:system_mode, house:hvac_load
2024-02-01 16:00:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-01 16:15:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-01 16:30:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-01 16:45:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-01 17:00:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-01 17:15:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-01 17:30:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-01 17:45:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-01 18:00:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 18:15:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 18:30:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 18:45:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 19:00:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 19:15:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 19:30:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 19:45:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-01 20:00:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-01 20:15:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-01 20:30:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-01 20:45:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-01 21:00:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
2024-02-01 21:15:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
